Badea_ID,DWI,Avg_Clustering,Path_Length
201012_15,N58749,0.7132850885151967,1.6225830959164294
200331_13,N58514,0.7153977537577915,1.6194681861348528
211004_11,N60157,0.6521865786502018,1.7664767331433997
200331_20,N58355,0.7090204813691574,1.6217283950617285
210614_17 ,N60133,0.6641505647911048,1.7686609686609687
210112_6,N58935,0.712937199750638,1.6129724596391264
210222_2,N60129,0.653696714643474,1.781633428300095
210112_18,N59109,0.7135486977945601,1.6320607787274455
201012_27,N58855,0.707253971325653,1.633048433048433
210112_20,N59099,0.7150751777836958,1.610693257359924
201012_24,N58831,0.7141274357130045,1.6288509021842354
201012_13,N58747,0.7134156326248539,1.6115669515669515
200302_11,N58346,0.7135420008445466,1.617644824311491
210112_5,N59072,0.7180636443034835,1.6169610636277303
200302_8,N58404,0.7171161898887889,1.6024501424501425
200331_7,N58512,0.7127977884335182,1.623456790123457
211004_12,N60159,0.6522361832002938,1.7871604938271606
201012_26,N58853,0.7153869359480396,1.6174169040835709
210222_4,N60127,0.6522046049506138,1.7858499525166192
201012_10,N58740,0.7183741926268905,1.6064197530864197
200331_9,N58500,0.719216787170879,1.6195631528964862
210112_19,N59097,0.7132106341950982,1.621576448243115
210906_5,N60200,0.6534492419534422,1.8038746438746438
201012_11,N58742,0.7201546736883543,1.59656220322887
201012_2,N58733,0.7189158458448478,1.6015574548907883
210503_6,N58952,0.7111898648884245,1.6229059829059829
201012_25,N58851,0.6882948600213363,1.666343779677113
210112_23,N59118,0.7215719221199229,1.616980056980057
210222_11,N58859,0.7156290451715197,1.6236087369420702
210222_16,N59080,0.7043753935301003,1.631661918328585
210614_18 ,N60137,0.6613581392752481,1.7547578347578348
210222_14,N59065,0.7083221636301191,1.627844254510921
201012_12,N58745,0.7218520788239274,1.6006837606837607
200302_10,N58344,0.7134128417865038,1.608641975308642
201012_3,N58734,0.7144917054559327,1.6082051282051282
210112_4,N58948,0.7150497829288504,1.6143399810066477
200331_8,N58477,0.7263354676245235,1.6063057929724596
210614_3,N60058,0.652821552492652,1.7808547008547009
200302_6,N58359,0.7180151702070703,1.6098955365622032
200331_10,N58510,0.7178929379083928,1.6213105413105413
211004_14,N59078,0.7131496281597188,1.6221842355175689
200331_11,N58406,0.7193594676127927,1.601994301994302
200302_12,N58350,0.7178111677147864,1.6032288698955366
201012_16,N58751,0.7104463711570224,1.6313010446343779
201012_8,N58735,0.7174138263231161,1.608338081671415
210112_12,N58941,0.7169487805507359,1.6083570750237417
210112_11,N58954,0.714667576913558,1.6231528964862298
210222_10,N58857,0.7078712930769728,1.6348717948717948
210112_21,N59116,0.7223953815008198,1.6245394112060778
210614_19 ,N60219,0.6497554758215778,1.778974358974359
200331_1,N58516,0.7221781109622624,1.6152516619183286
210222_6,N60139,0.6515150340402183,1.7842735042735043
201012_19,N58829,0.712632743731273,1.6290978157644824
201012_22,N58821,0.7092226198107384,1.6252801519468185
200331_12,N58408,0.7152627449829386,1.6198670465337133
201015_1           ,N58655,0.7198402833966359,1.6201519468186134
210222_3,N60131,0.6460609608407032,1.7981956315289649
211004_10,N59076,0.7142134418787782,1.6216524216524217
210614_2,N60056,0.6571161365249035,1.7598290598290598
210112_9,N58946,0.7093416270036343,1.6238366571699905
201012_1,N58732,0.7013670914673681,1.630503323836657
201012_5,N58780,0.7182371511888195,1.6148907882241215
200302_3,N58394,0.7132703044164692,1.6175878442545109
210201_15,N58879,0.7140121429616155,1.6135612535612536
210906_2,N60169,0.6432753490836541,1.8042735042735043
210614_6 ,N60095,0.6491560978147253,1.801386514719848
220110_1,N60088,0.6642487539643678,1.7414245014245013
201012_21,N58815,0.7104005472984283,1.6313770180436846
210614_13 ,N59141,0.7210120635712814,1.6129724596391264
210112_14,N59033,0.720848213293935,1.6199240265906933
210112_17,N59026,0.7185180889215027,1.607806267806268
211122_9,N60161,0.6444905246780577,1.8102564102564103
201026_1,N58706,0.714342886326106,1.6182716049382717
210614_5,N60062,0.6580421680638879,1.7997720797720798
201012_7,N58788,0.7271168514365299,1.5953086419753086
201012_17,N58792,0.7133510281862834,1.626400759734093
210503_7,N60225,0.6491923048943754,1.8151946818613485
210201_13,N58919,0.7186022009921255,1.6224691358024692
210201_16,N58881,0.7127706824328764,1.62011396011396
220110_4,N60092,0.6514252998265992,1.7935612535612535
220110_2,N60070,0.6497003183930536,1.8124786324786324
201026_4,N58714,0.7042972788477121,1.6407597340930675
210809_5,N60103,0.6427160518141378,1.8065906932573599
201012_20,N58813,0.7041703607440952,1.629781576448243
210614_21,N60198,0.6550163596842437,1.758062678062678
210112_16,N59035,0.7268291797135319,1.5993162393162392
211122_10,N60167,0.6471041844159373,1.7760303893637226
210201_19,N58877,0.7146720205336599,1.6050902184235518
210614_8,N59136,0.7117261541843609,1.6073314339981006
211122_1,N60064,0.6591013396613414,1.8073314339981006
210222_17,N60231,0.6440660599251234,1.7795251661918328
201026_2,N58708,0.7118923046068373,1.6259069325735993
200331_17,N58309,0.712105060881099,1.6161633428300095
210906_3,N60190,0.6562717307532806,1.77661918328585
201012_4,N58779,0.7262814513446663,1.5969420702754036
211122_4,N60093,0.6522707926308627,1.7986894586894586
210614_9 ,N59140,0.7147564648695758,1.6171130104463438
210222_7,N58917,0.7147698584731283,1.6280721747388414
200331_5,N58604,0.7200555112853211,1.6104843304843306
201026_3,N58712,0.7089077407533885,1.6238556505223172
210614_14 ,N60223,0.6531225161036112,1.7785754985754987
201012_18,N58794,0.7055873719989855,1.6263057929724596
210201_11,N58887,0.7207543788737326,1.6096866096866096
210112_27,N60229,0.6534984403719268,1.7553846153846153
200331_4,N58606,0.7270732848390058,1.6055840455840455
210112_8,N59041,0.7081533055326987,1.6235707502374168
210201_7,N58915,0.7150838141999103,1.6203988603988604
210906_4,N60188,0.6569717868809798,1.7831528964862298
210201_12,N58885,0.7157437070720875,1.6132383665716998
210614_28 ,N60221,0.6523640109234428,1.7780816714150047
200302_5,N58398,0.7213304535582951,1.5994681861348528
200331_16,N58303,0.7085793230056473,1.6199620132953467
210112_15,N59022,0.719736986899028,1.6168660968660968
211122_2,N60101,0.6540928114417291,1.7912820512820513
201012_23,N58819,0.7085429803315527,1.6233618233618234
210906_6,N60192,0.6460113198961633,1.79014245014245
201012_6,N58784,0.71702217043246,1.6088509021842354
210201_10,N58883,0.7158898506543855,1.613656220322887
