BadeaID,Badea_ID,Module_1_Eigengene,Module_2_Eigengene,Module_4_Eigengene,Module_5_Eigengene,Module_6_Eigengene,Module_7_Eigengene,Module_8_Eigengene,Module_9_Eigengene,Module_10_Eigengene
190715_3,190715_3,-1.204126155,-0.557812665,-1.344539061,4.273807001438598,2.0413050319855306,-0.376981787,0.37377373061555647,0.5171320629461152,-40.68303924
190715_4,190715_4,-0.140727105,-1.182529146,-1.358215696,-0.869488718,-0.524888158,-2.143683018,2.702870570083503,-0.270872812,45.37629912526737
190715_5,190715_5,1.2312185437501442,2.646348147999441,0.5161131740731556,2.224736425809988,3.7749033375592327,4.161175966443006,1.5463242073693848,-0.509583718,-22.67938865
190715_6,190715_6,-0.537353573,1.8583905290741047,1.415114145099907,1.4783136685134137,0.725767356,-0.560089749,1.4241643588780624,0.9756451479983936,-36.98173472
190715_7,190715_7,2.3749521188395892,-0.873876761,-0.065369184,-0.566088618,-3.285336777,3.9387513797703404,1.4971451212387008,0.42317943628170074,-50.76522008
190715_8,190715_8,-0.878433782,-1.53289597,-0.613912283,4.340005666620283,0.6484245705278805,-1.369374995,-0.449290774,-0.70181622,14.672209594364057
190715_9,190715_9,-0.323090532,-0.887480046,4.933893424696405,2.2803065227542305,4.097330545,1.293708031522044,-0.261864279,-0.781840922,5.2033491980116295
190909_10,190909_10,-0.088423934,0.7646683804227206,0.45754410722922556,1.1764084974480595,-0.936456909,-0.27996158,-1.843480606,0.4142568011487852,-54.67621312
190909_11,190909_11,-0.627456179,1.5442464460236638,1.1242486890577648,-2.751414174,-0.703849636,1.570155174463621,-0.35738114,1.614463304434332,-80.45890529
190909_12,190909_12,-0.993148223,1.5411466971197658,3.256973185976083,-3.007350051,-2.185490065,-1.339675739,-0.751763757,1.4889501214129155,-80.01984165
190909_13,190909_13,-0.008039193,0.8815459205799544,0.17808191869318477,-2.380456264,-2.480808487,4.718252592472992,-1.821351952,0.7592390626017737,-65.2116149
190909_9,190909_9,-0.437953355,-1.11408676,-0.572564024,-1.964753089,0.1165400192351059,2.611534595293312,0.9024180498918414,0.16752279616984936,-57.38876103
200302_10,200302_10,1.647669316262282,-0.920595603,0.055019603,0.2594355304854667,1.9095148587517612,2.097469058700845,0.7445920601142215,0.7085820629429421,-49.48890915
200302_11,200302_11,-0.439549825,-0.498972899,-0.973620332,-0.443078049,-1.421927709,-1.192507772,-0.851549555,0.49267744573779704,-60.51808999
200302_12,200302_12,-0.214564952,0.3137869026449597,-0.470581109,2.696672799889712,-0.729798521,-0.360394302,-1.161914678,0.4798681881973668,6.760732738331105
200302_3,200302_3,-0.718223181,-0.280550148,1.2190488337835061,1.9951491699906831,3.897443911413176,0.20783524381794502,1.0114205269232697,-0.27206438,-1.139597118
200302_4,200302_4,1.5785006419633623,1.7837335271469026,1.7809185292286227,-2.083825028,-0.770624209,0.12398144905753364,2.245080572136242,-0.772489662,30.520716655146245
200302_5,200302_5,-0.465389705,0.7349171925324308,-0.319672781,0.8526214908805585,3.132476983915631,1.9298231620639632,0.7851426219300324,-0.763298583,-4.680823313
200302_6,200302_6,-0.943520584,0.3287380905860005,-1.494830322,2.528534555284185,-0.69394475,-0.960899886,0.5345797802013842,-1.957374025,-26.84958194
200302_7,200302_7,-0.118822721,-1.068731064,-1.707455696,3.1135500917175065,2.6785619055619043,4.120296874404533,1.088989296,0.14355353498917775,-20.44579477
200302_8,200302_8,-1.474167252,1.9375257656621383,-1.717105761,3.4483210900974943,0.26208057940176094,2.2648407892583973,2.1949152056490946,-0.708915082,-3.749673197
