Badea_ID,Module_1_Eigengene,Module_2_Eigengene,Module_4_Eigengene,Module_5_Eigengene,Module_6_Eigengene,Module_7_Eigengene,Module_8_Eigengene,Module_9_Eigengene,Module_10_Eigengene,DWI,Avg_Clustering,Path_Length
200302_10,1.647669316262282,-0.9205956031300556,0.05501960279708905,0.2594355304854667,1.9095148587517612,2.097469058700845,0.7445920601142215,0.7085820629429421,-49.488909154618646,N58344,0.7134128417865038,1.608641975308642
200302_11,-0.43954982472612375,-0.4989728991875987,-0.9736203317963664,-0.44307804895193087,-1.4219277090318851,-1.1925077724981317,-0.8515495554483239,0.49267744573779704,-60.5180899893151,N58346,0.7135420008445466,1.617644824311491
200302_12,-0.21456495180882024,0.3137869026449597,-0.47058110854087487,2.696672799889712,-0.7297985209651645,-0.360394301673194,-1.161914678380994,0.4798681881973668,6.760732738331105,N58350,0.7178111677147864,1.6032288698955366
200302_3,-0.7182231807413917,-0.28055014754043833,1.2190488337835061,1.9951491699906831,3.897443911413176,0.20783524381794502,1.0114205269232697,-0.2720643804839888,-1.139597118003474,N58394,0.7132703044164692,1.6175878442545109
200302_4,1.5785006419633623,1.7837335271469026,1.7809185292286227,-2.083825027585672,-0.7706242087276173,0.12398144905753364,2.245080572136242,-0.7724896618555258,30.520716655146245,N58396,0.7153592714109883,1.610465337132004
200302_5,-0.46538970511488575,0.7349171925324308,-0.31967278070740146,0.8526214908805585,3.132476983915631,1.9298231620639632,0.7851426219300324,-0.763298583363826,-4.680823312631598,N58398,0.7213304535582951,1.5994681861348528
200302_6,-0.9435205839522866,0.3287380905860005,-1.4948303216498111,2.528534555284185,-0.693944750012834,-0.960899885830808,0.5345797802013842,-1.9573740251804992,-26.849581938974605,N58359,0.7180151702070703,1.6098955365622032
200302_7,-0.11882272133614107,-1.0687310644190973,-1.7074556962451977,3.1135500917175065,2.6785619055619043,4.120296874404533,1.08898929617727,0.14355353498917775,-20.44579476540869,N58361,0.7227130178814143,1.6045584045584045
200302_8,-1.4741672521320477,1.9375257656621383,-1.7171057606131008,3.4483210900974943,0.26208057940176094,2.2648407892583973,2.1949152056490946,-0.7089150817005134,-3.749673197304669,N58404,0.7171161898887889,1.6024501424501425
200331_1,-1.0762487001739653,-2.212924825947962,-0.28667809694594815,1.5946794525334926,-1.422317497222144,-0.9148556842830556,0.4086531480216687,2.486130242058382,-50.36228727995191,N58516,0.7221781109622624,1.6152516619183286
200331_10,0.527397649804565,-1.5827085718629534,-0.2604742236549317,5.507546452429931,0.5280925124440069,-0.5982136649017933,-0.4259694102247528,-1.1426208745390034,-19.752942564023144,N58510,0.7178929379083928,1.6213105413105413
200331_11,0.9932060846940853,2.0469011623139717,0.15860130846322257,4.087401444471865,-0.6968227469257908,1.5332831112306418,0.6513248026820633,-0.0785338397928295,-38.2692201230812,N58406,0.7193594676127927,1.601994301994302
200331_12,1.559561295009844,-1.9880107002476664,3.05117691871321,-1.4297999781781168,1.0351381766716765,-1.9304420239466515,-0.381576343763182,3.638367734207674,-4.385043900306949,N58408,0.7152627449829386,1.6198670465337133
