,0
Slc4a1,10
Cdt1,10
Aprt_1,10
Gtf2h1,10
Qrich1_1,10
Pola1,10
Acot13,10
Cdk4_1,10
Pip4k2a,10
B4galnt1_1,10
Saa4,8
Wtap_1,10
Sod2_1,10
Gene_2,10
Tmco6,10
Eif1b,10
Psmd2,10
Ap2m1_1,10
Abhd16a,10
Neu1,10
Clic1_1,10
Mrpl49_1,10
Gatad1_1,10
M6pr,10
Ppp2r1a_1,10
Tinf2_1,10
Dus3l,10
Tgfbr1,10
Bcl2l1_1,10
Khsrp,10
Ccdc124,10
Rhoa,10
Hnrnpa0,10
Prrg2,10
Rbm28,10
Ddx49_1,10
Id3,10
Rplp1,10
Abhd8,10
Ift22_1,10
Mid1ip1,10
Cers4_1,10
Phax_1,10
Relt,10
Snrpb2,10
Sertad1,10
Carhsp1,10
Elk3,10
Herpud2,10
Dnajb6_1,10
Ubqln4,10
Rps18,10
Rpl10_1,10
Coro1b_1,10
Man1a2,10
Acyp1,10
Rala,10
Vdac3,10
Rpl30_1,10
Vps72_1,10
Gabpa,10
Stk38_1,10
Dynll1_1,10
Pdcl,10
Zmat5,10
Bcl2l13,10
Dgcr8,10
Ifi211,10
Xpo6_1,10
Zfp212,10
Pttg1ip,10
Elk1,10
Srp14,10
Cdk9,10
Tor2a,10
Syngr1,10
Ppp2cb,10
Fxyd5_1,10
Kcnd1,10
Sdhb,10
Snap47,10
Kdsr,10
Tmem115,10
Tusc2,10
Nprl2,10
Slc3a2_1,10
Nxf1_1,10
Tmem223,10
Wdr77,10
Tnfrsf13b,10
Fdx2,10
Bltp2,10
Tmem86a,10
Ifi35_1,10
Rdm1,10
Nedd8,10
Gosr1,10
Mrpl52,10
Wnt2,10
Dnajc19_1,10
Brf1,10
Adam19,10
Sugp1,10
Acad9_1,10
Dhdh,10
Dennd1c_1,10
Sptbn1_1,10
Pgam1,10
Snapc2,10
Gltp,10
Zfp729a,10
Kif11,10
Rpa3,10
Dnajb6_2,10
Amotl1,10
Gfod2,10
Atp6v0d1,10
Arih2,10
Commd8_1,10
Ndufs2,10
Cad,10
Pten,10
Timm23,10
Tnfaip8l2,10
Crbn,10
Ppp1r12c_1,10
Birc3_1,10
Elof1,10
Pip4k2c,10
Rnf170,10
Mcemp1,10
Pax5,10
Rnf168,10
Chp1,10
Apbb1ip,10
Cacybp,10
Pigl,10
Ndufa2,10
Cox6c,10
Anapc1,10
Tsg101_1,10
Rnf166,10
Ankrd52,10
Pkd2l2,10
U2af1_1,10
Wdfy2,10
Rbsn,10
Mrps25_1,10
Dguok,10
Slc25a11,10
Cpne8_1,10
Chfr,10
Tex261,10
Psmb1_1,10
Nol3,10
Fhod1,10
Tppp3_1,10
Adamts13,10
Tmem208,10
E2f4,10
Surf4,10
Surf2,10
Dnajb9,10
Ppp1cb_1,10
Efr3a_1,10
Trappc2l_1,10
Galns,10
Edf1,10
Fbxw5,10
Unkl,10
Lrrk1_1,10
Casd1,10
Mtmr1,10
Nipsnap3b,10
Lage3,10
Gdi1,10
Gadd45b,10
Slamf1_1,10
Slc39a1,10
Endog,10
Cybb,10
Xk,10
Plxnd1,10
Atf6b,10
Prrt1,10
Rnf5,10
Hivep2,10
Ctss_1,10
Lpl,10
Atp6v0e,10
Srf,10
Hspa8_1,10
Mrpl32_1,10
Prune1,10
Cers2,10
Capza2,10
Plekho1_1,10
Vps45,10
Aph1a_1,10
Ppil4,10
Cnih1,10
Med28_1,10
Sqstm1_1,10
Lta4h_1,10
Rrbp1_1,10
Macroh2a1_1,10
Gtf2ird2,10
Castor2,10
Adss2,10
Actr8,10
Fnta,10
Lbp,10
Fli1,10
Tmbim1_1,10
Syt14,10
Atp5f1e_1,10
Ctsz,10
Prelid3b,10
Slc25a5,10
Ppdpf_1,10
Nkap,10
Ndufa1,10
Cd274,10
Mtif3_1,10
Lnx2,10
Dyrk3,10
Mapkapk2,10
Lamp2_1,10
Cul4a_1,10
H3f3b,10
Myh9,10
Ift27,10
Ttll1,10
Mrps18c,10
Kctd5,10
Sdc4,10
Serpinb6a_1,10
Coa3,10
Med24,10
Psmd3_1,10
Taok1,7
Dnttip1,10
Cd300lg,10
Mpp2,10
Traf4,10
Stac2,10
Rpl19,10
Zfp207_1,10
Psmd11_1,10
Cyba_1,10
Timp2,10
Top2b_1,10
Igfbp4,10
Tns4,10
Tnfaip1,10
Rab11fip4,10
Rnf135,10
Ada,10
Serinc3_1,10
Pgs1_1,10
Mmp9,10
Ghdc,10
Slc12a7,10
Zswim1,10
Crk,10
Cox7c_1,10
Retreg3,10
Dhx58,10
Rab5a,10
Nkiras2,10
Ift52,10
Ddx27,10
Rrp7a,10
H2bc4,10
Mafk,10
Stard3,10
Mfng,10
Vmp1,10
Cdc73,10
Stk4,10
Pmp22,10
Zcchc10,10
Psmb6_1,10
Spag7_1,10
Pfn1_1,10
Ywhab,10
Vezf1_1,10
Mrm1,10
Kansl1,10
Drg2,10
Dhx40,10
Ypel2,10
Rpain,10
Appbp2,10
Trpv2,10
Cenpv_1,10
Pip4k2b,10
Gabarap_1,10
Acadvl_1,10
G3bp1,10
Mief2,10
Pnpo,10
Cog1,10
Slc25a39,10
Aatf,10
Dync1h1_1,10
Ap2b1,10
Ndel1,10
Tnfsf13,10
Mpdu1,10
Fxr2,10
Atp5mc3_1,10
