X,HN,APOE,ID,Treatment,Genotype,Sex,Age,Age_Cat,Diet,Stage,Trial,Distance,Time.freezing,Time.mobile,Object1_head.entries,Object1_head.time,Obj1_RI,Object1_latency.to.first.entry,Object1_time.mobile,Object1_time.immobile,Object1...in.zone.oriented.to.centre,Object1_time.freezing,Object2_head.entries,Object2_head.time,Obj2_RI,Object2_latency.to.first.entry,Object2_time.mobile,Object2_time.immobile,Object2...in.zone.oriented.to.centre,Object2_time.freezing,Object3_head.entries,Object3.headtime,Object3_latency.to.first.entry,Object3...in.zone.oriented.to.centre,Object4_head.entries,Object4.headtime,Object4_latency.to.first.entry,Object4...in.zone.oriented.to.centre,Outerzone_head.entries,Outerzone.headtime,Outerzone.distance,Outerzone_latency.to.first.entry,Outerzone_average.speed,Outerzone_time.mobile,Outerzone_time.immobile,Outerzone_time.freezing,Centerzone_head.entries,Centerzone_head.time,Centerzone_distance,Centerzone_latency.to.first.entry,Centerzone_average.speed,Centerzone_time.mobile,Centerzone_time.immobile,Centerzone.time.freezing,Object1Center...head.time.oriented.towards,Object2Center...head.time.oriented.towards,Total_time,Tracked_time,Percentage_time_center,Percentage_time_outerzone
1092,-1,APOE3,221128-16,E33_F_6month_Control,E33,Female,6,6 Months,Control,Dilutions,4,2.656,28.1,39.5,1,0.3,0.375,48.9,0.3,0,0.3,0,2,0.5,0.625,0,0.5,0,0.3,0,0,0,NA,0,2,1.6,79.8,1.6,15,109.6,2.267,1.9,0.019,36,80.5,28.1,1,0.6,0.064,0,0.082,0.8,0,0,NA,NA,67.6,145.4,0.550206327,24.75928473
1093,-1,APOE3,221128-17,E33_M_6month_Control,E33,Male,6,6 Months,Control,Dilutions,4,1.308,38.3,34.6,3,1.4,0.28,0.6,1.4,0,1.4,0,6,3.6,0.72,1.3,3.6,0,2.5,0,4,1.7,3.1,0.5,1,0.8,8.3,0,15,76.8,0.974,17.1,0.01,14.7,85.2,38.3,2,15.3,0.253,0,0.015,16.8,0,0,29,28.5,72.9,155,10.83870968,9.483870968
1094,-1,APOE3,221128-18,E33_M_6month_Control,E33,Male,6,6 Months,Control,Dilutions,4,1.122,73.5,25.5,3,2.6,0.722222222,0,2.6,0,1,0,1,1,0.277777778,1.6,1,0,0,0,1,0.1,4.2,0,0,0,NA,0,6,112,0.726,5.7,0.006,17.9,94.3,73.5,1,4.5,0.238,0,0.05,4.8,0,0,NA,NA,99,190.5,2.519685039,9.396325459
1095,-1,APOE4,221128-19,E4HN_M_6month_Control,E44,Male,6,6 Months,Control,Dilutions,4,0.361,81.4,16.3,1,0.9,0.473684211,4.2,0.9,0,0.8,0,1,1,0.526315789,5.8,0,1,0.9,0,3,2.7,0,1.3,2,1.2,1.8,0,4,105.2,0.173,13.9,0.002,5.1,100.7,81.4,2,9.4,0.111,0,0.01,8.6,2.9,0,NA,NA,97.7,198.7,4.328132864,2.566683442
1096,-1,APOE4,221128-20,E4HN_M_6month_Control,E44,Male,6,6 Months,Control,Dilutions,4,0.716,79.9,18.1,2,0.8,0.444444444,0,0.2,0.6,0,0,1,1,0.555555556,1.6,0,1,0.1,0,2,1.9,5.4,1.1,2,0.6,7.8,0.3,6,106.4,0.446,9.9,0.004,9.9,98.4,79.9,1,7.7,0.162,0,0.019,5.1,3.6,0,NA,NA,98,196.9,2.590147283,5.027932961
1097,-1,APOE4,221128-1,E44_M_12month_Control,E44,Male,12,Young,Control,Day1_vanilla,1,1.856,53.5,27.5,1,1.7,0.85,1.4,1.7,0,1.1,0,1,0.3,0.15,64.7,0.3,0,0.3,0,3,2.5,3.9,1.3,3,3.1,24.8,1.4,6,100,0.955,6.5,0.011,9.4,80,47.2,4,13.1,0.301,0,0.021,14.1,0,0,10.6,4.2,81,150.7,9.356337094,6.237558062
1098,-1,APOE4,221128-2,E44_F_12month_Control,E44,Female,12,Young,Control,Day1_vanilla,1,1.649,74.1,22.1,5,0.8,0.32,57.3,0.8,0,0,0,4,1.7,0.68,0,1.7,0,0.9,0,2,0.9,2.1,0,4,2.9,1.2,1.7,4,103.4,0.577,9.2,0.006,4.6,97.9,74.1,3,14,0.623,0,0.04,15.8,0,0,NA,NA,96.2,192.4,8.212058212,2.390852391
1099,-1,APOE4,221128-3,E44_F_12month_Control,E44,Female,12,Young,Control,Day1_vanilla,1,3.068,28.8,42.9,0,0,0,NA,0,0,0,0,2,0.8,1,51.9,0.8,0,0.8,0,2,0.9,38.4,0.9,1,2.3,52.1,2.3,12,89.6,1.55,0,0.016,17.8,76.3,27.7,1,20,1.154,51.8,0.064,17.9,0,0,NA,NA,71.7,139.7,12.81317108,12.74158912
1100,-1,APOE2,221128-4,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day1_vanilla,1,1.736,85.1,20.8,1,1.6,0.64,2.7,1.6,0,0.1,0,1,0.9,0.36,55.8,0.9,0,0.6,0,1,0.4,1.1,0.4,4,1,0.3,0.3,8,108.3,0.759,5.2,0.007,9.9,99.2,85.1,2,7.9,0.649,0,0.075,8.7,0,0,NA,NA,105.9,202.9,4.287826516,4.879250862
1101,-1,APOE2,221128-5,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day1_vanilla,1,2.706,55.3,30.1,2,1.7,0.739130435,63.1,1.7,0,1,0,2,0.6,0.260869565,62.9,0.6,0,0.4,0,2,0.8,64.8,0.5,2,1.9,69,1.5,8,90.6,1.805,1,0.017,19.4,89.9,55.3,1,9.2,0.691,0,0.071,9.7,0,0,44.7,49.4,85.4,174.3,5.565117613,11.13023523
1102,-1,APOE2,221128-6,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day1_vanilla,1,4.391,12,67.5,7,10,0.819672131,0,6.4,3.6,6.2,0,3,2.2,0.180327869,74.9,2.2,0,0.6,0,2,4.9,91.1,0.6,2,3.7,73.9,0.9,17,77.3,2.053,4.2,0.032,30.9,33.5,5.4,8,10.7,0.459,0,0.05,5.9,3.3,0,NA,NA,79.5,79,7.46835443,39.11392405
1103,-1,APOE2,221128-7,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day1_vanilla,1,3.275,43.1,49.3,5,5.9,0.756410256,9.5,5.9,0,3.5,0,5,1.9,0.243589744,19.4,1.9,0,1.2,0,3,5.3,3.9,2.8,5,7.7,29.3,3.1,19,64.1,1.556,0,0.02,23.7,54.3,36.7,6,6.8,0.171,36.3,0.038,4.5,0,0,NA,NA,92.4,119.2,3.775167785,19.88255034
1104,-1,APOE2,221128-8,E22_M_6month_Control,E22,Male,6,6 Months,Control,Day1_vanilla,1,3.477,47.5,38.6,1,0.5,0.714285714,62.5,0.5,0,0.5,0,1,0.2,0.285714286,65,0.2,0,0,0,2,2,13,2,0,0,NA,0,10,108.2,2.688,0.9,0.024,29.7,81.4,47.5,2,3,0.177,0,0.048,3.7,0,0,NA,NA,86.1,162.3,2.279728897,18.29944547
1105,-1,APOE2,221128-9,E22_M_6month_Control,E22,Male,6,6 Months,Control,Day1_vanilla,1,1.342,65.6,16.3,0,0,0,NA,0,0,0,0,1,0.4,1,72,0.4,0,0,0,4,1.6,1,0.4,2,1.1,0,0.4,9,101.4,0.548,5.2,0.005,7.2,103.7,65.6,3,6.1,0.578,0,0.076,7.6,0,0,41.1,44.1,81.9,184.1,4.1281912,3.910917979
1106,-1,APOE4,221128-10,E44_M_12month_HFD,E44,Male,12,Young,HFD,Day1_vanilla,1,2.779,62.9,20.7,0,0,0,NA,0,0,0,0,2,1.7,1,18.6,1.7,0,0.4,0,0,0,NA,0,1,0.2,8.9,0.2,8,108.1,2.017,0,0.018,15.5,98.5,62.9,2,0.8,0.359,57.3,0.195,1.8,0,0,NA,NA,83.6,178.7,1.007274762,8.673754896
1107,-1,APOE4,221128-11,E44_M_12month_HFD,E44,Male,12,Young,HFD,Day1_vanilla,1,1.707,65,23.3,2,1.1,0.647058824,0,1.1,0,0.7,0,2,0.6,0.352941176,63.8,0.6,0,0,0,2,2.2,1.3,1.4,0,0,NA,0,7,109.2,0.865,4.6,0.008,14.2,96.4,65,2,5.4,0.442,0,0.067,6.6,0,0,NA,NA,88.3,182.2,3.622392975,7.79363337
1108,-1,APOE4,221128-12,E44_M_12month_HFD,E44,Male,12,Young,HFD,Day1_vanilla,1,2.05,65.3,24.3,5,3.4,0.653846154,9.2,1.8,1.6,1.4,0,1,1.8,0.346153846,0,1.8,0,1.5,0,2,0.9,4,0.6,2,3.1,2.3,0.2,5,101.5,1.271,12.7,0.012,14.9,88.2,65.3,3,13.7,0.588,0,0.043,8.4,5.3,0,NA,NA,89.6,182.1,4.612850082,8.182317408
1109,-1,APOE3,221128-13,E33_M_12month_Control,E33,Male,12,Young,Control,Day1_vanilla,1,1.297,26.9,22.1,4,2.6,0.896551724,0,0.8,1.8,1.7,0,1,0.3,0.103448276,5.5,0,0.3,0.3,0,2,0.8,9.8,0,2,0.6,65,0.3,14,93.9,0.58,11.8,0.006,12.6,89.4,26.9,3,13.7,0.338,0,0.024,7,7.2,0,18.6,24.4,49,143.1,4.891684137,8.805031447
1110,-1,APOE3,221128-14,E33_F_6month_Control,E33,Female,6,6 Months,Control,Day1_vanilla,1,1.204,58.6,15.3,2,0.7,0.636363636,60.8,0.7,0,0.2,0,1,0.4,0.363636364,0,0.4,0,0,0,1,0.8,61.3,0.3,0,0,NA,0,5,112.7,0.424,1.2,0.004,9.4,104.7,58.6,2,3.2,0.297,0,0.074,4,0,0,NA,NA,73.9,176.7,2.263723826,5.31975099
1111,-1,APOE3,221128-16,E33_F_6month_Control,E33,Female,6,6 Months,Control,Day1_vanilla,1,2.666,61.8,32.8,1,0.9,1,10.2,0.9,0,0.9,0,0,0,0,NA,0,0,0,0,3,1.9,2.4,1.9,2,1.3,3.1,0.7,7,110.8,2.417,0.5,0.021,28.6,87.2,61.8,3,1.5,0,NA,NA,0,0,0,NA,NA,94.6,177.6,0,16.1036036
1112,-1,APOE3,221128-15,E33_F_6month_Control,E33,Female,6,6 Months,Control,Day1_vanilla,1,1.409,58.2,13.2,1,0.6,0.24,57.1,0.6,0,0.6,0,2,1.9,0.76,52.6,1.9,0,0.1,0,0,0,NA,0,2,0.5,51.2,0,49,67.7,0.91,0,0.008,9.6,106.8,58.2,2,2.6,0.339,52.3,0.156,2.2,0,0,NA,NA,71.4,176.8,1.244343891,5.429864253
1113,-1,APOE3,221128-17,E33_M_6month_Control,E33,Male,6,6 Months,Control,Day1_vanilla,1,1.283,52.4,18.3,1,0.6,0.428571429,2.2,0.6,0,0,0,2,0.8,0.571428571,54.5,0.8,0,0.8,0,1,0.3,73.3,0.3,3,1.5,0,0.3,15,86.9,0.748,5.8,0.007,8.1,101.7,52.4,2,6.7,0.38,0,0.052,7.3,0,0,9.7,6.6,70.7,169.5,4.306784661,4.778761062
1114,-1,APOE3,221128-18,E33_M_6month_Control,E33,Male,6,6 Months,Control,Day1_vanilla,1,1.498,78.5,12.1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0.8,74,0,1,0.3,72.3,0.2,10,108.7,0.442,2.1,0.004,6,107.9,78.5,4,1.9,0.603,0,0.159,3.8,0,0,NA,NA,90.6,196.2,1.936799185,3.058103976
1115,-1,APOE4,221128-19,E4HN_M_6month_Control,E44,Male,6,6 Months,Control,Day1_vanilla,1,1.215,64.9,30.6,5,2.5,0.221238938,3.3,1.9,0.6,0.8,0,6,8.8,0.778761062,4.4,7.6,1.3,2.9,0,5,5,0,3.2,5,5.6,5.8,4.8,3,57.1,0.47,9.7,0.008,3.6,52.8,46.7,5,56.3,0.538,0,0.009,25.1,36.7,18.2,NA,NA,95.5,183.1,13.70835609,1.966138722
1116,-1,APOE4,221128-20,E4HN_M_6month_Control,E44,Male,6,6 Months,Control,Day1_vanilla,1,1.321,79,25.3,5,2.4,0.705882353,0,2.1,0.3,1.1,0,1,1,0.294117647,71.4,1,0,0.9,0,1,0.2,75.6,0,2,1.6,69.9,1.6,16,94.5,0.581,7.1,0.006,8.8,91.1,79,5,11,0.393,0,0.03,9.7,3.6,0,NA,NA,104.3,192.2,5.046826223,4.578563996
1117,-1,APOE4,221128-1,E44_M_12month_Control,E44,Male,12,Young,Control,Day2_IdenticalObject,1,6.443,2.6,103.5,10,8.7,0.356557377,40.7,8,0.7,3.2,0,14,15.7,0.643442623,0,13.8,2,6.1,0,NA,NA,NA,NA,NA,NA,NA,NA,18,57.5,2.652,2.1,0.049,44.5,9.2,2.6,15,36.1,1.569,0,0.046,28.8,5.2,0,7.8,10.4,106.1,90.3,31.89368771,49.28017719
1118,-1,APOE4,221128-2,E44_F_12month_Control,E44,Female,12,Young,Control,Day2_IdenticalObject,1,0.672,82.2,13.3,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,116.4,0.536,3.1,0.005,10.1,106.7,82.2,1,0.2,0,NA,NA,0,0,0,NA,NA,95.5,199,0,5.075376884
1119,-1,APOE4,221128-3,E44_F_12month_Control,E44,Female,12,Young,Control,Day2_IdenticalObject,1,3.631,27.8,55.1,2,1,0.833333333,0,1,0,0.7,0,1,0.2,0.166666667,12,0.2,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,16,102.8,3.031,1.1,0.027,47.6,64.9,27.8,2,1.5,0.164,0,0.107,1.5,0,0,NA,NA,82.9,141.8,1.057827927,33.56840621
1120,-1,APOE2,221128-4,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day2_IdenticalObject,1,3.937,27.4,46,2,6.5,0.580357143,85,2.7,3.8,1.2,0,5,4.7,0.419642857,0.4,4.7,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,19,92.5,2.356,1.1,0.024,28.5,68,27.4,11,9.1,0.45,0,0.049,9.2,0,0,NA,NA,73.4,133.1,6.912096168,21.41247183
1121,-1,APOE2,221128-5,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day2_IdenticalObject,1,6.708,6.3,96.1,10,24.6,0.732142857,0,21.1,3.6,11.9,0,5,9,0.267857143,32.1,9,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,15,59.9,2.758,1,0.046,46.8,13.6,3.8,14,24.5,1.343,0,0.074,18.3,0,0,19.1,12.3,102.4,82.5,22.18181818,56.72727273
1122,-1,APOE2,221128-6,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day2_IdenticalObject,1,5.852,17,86.2,6,10.9,0.573684211,23.6,7.9,3,5.2,0,3,8.1,0.426315789,31.9,8.1,0,2.3,0,NA,NA,NA,NA,NA,NA,NA,NA,20,81.8,3.497,3.1,0.043,50.6,30.7,17,11,17.2,0.833,0,0.07,11.9,0,0,NA,NA,103.2,110.2,10.79854809,45.91651543
1123,-1,APOE2,221128-7,E22_F_6month_Control,E22,Female,6,6 Months,Control,Day2_IdenticalObject,1,3.814,44.4,42.6,3,3.6,0.765957447,28.8,3.6,0,2,0,1,1.1,0.234042553,26.7,1.1,0,0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,26,83.3,2.746,1.5,0.025,31.7,77.4,44.4,6,4.6,0.468,0,0.143,3.3,0,0,NA,NA,87,156.8,2.104591837,20.21683673
1124,-1,APOE2,221128-8,E22_M_6month_Control,E22,Male,6,6 Months,Control,Day2_IdenticalObject,1,3.959,32.8,50.7,2,2.5,0.581395349,75.1,2.5,0,1.6,0,2,1.8,0.418604651,16.3,1.8,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,12,98.2,3.371,0.7,0.031,44.4,66,30.2,1,2.8,0.205,0,0.053,1.8,2.1,1.5,NA,NA,83.5,146,1.232876712,30.4109589
1125,-1,APOE2,221128-9,E22_M_6month_Control,E22,Male,6,6 Months,Control,Day2_IdenticalObject,1,1.486,60.5,26.2,1,0.5,1,64.2,0.5,0,0.5,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9,110.2,1.412,1.7,0.012,24.5,93.8,60.5,0,0,0,0,0,0.4,0,0,29.4,24.5,86.7,179.2,0.223214286,13.671875
