X,HN,APOE,ID,Treatment,Genotype,Sex,Age,Age_Cat,Diet,Stage,Trial,Distance,Time.freezing,Time.mobile,Object1_head.entries,Object1_head.time,Obj1_RI,Object1_latency.to.first.entry,Object1_time.mobile,Object1_time.immobile,Object1...in.zone.oriented.to.centre,Object1_time.freezing,Object2_head.entries,Object2_head.time,Obj2_RI,Object2_latency.to.first.entry,Object2_time.mobile,Object2_time.immobile,Object2...in.zone.oriented.to.centre,Object2_time.freezing,Object3_head.entries,Object3.headtime,Object3_latency.to.first.entry,Object3...in.zone.oriented.to.centre,Object4_head.entries,Object4.headtime,Object4_latency.to.first.entry,Object4...in.zone.oriented.to.centre,Outerzone_head.entries,Outerzone.headtime,Outerzone.distance,Outerzone_latency.to.first.entry,Outerzone_average.speed,Outerzone_time.mobile,Outerzone_time.immobile,Outerzone_time.freezing,Centerzone_head.entries,Centerzone_head.time,Centerzone_distance,Centerzone_latency.to.first.entry,Centerzone_average.speed,Centerzone_time.mobile,Centerzone_time.immobile,Centerzone.time.freezing,Object1Center...head.time.oriented.towards,Object2Center...head.time.oriented.towards,Total_time,Tracked_time,Percentage_time_center,Percentage_time_outerzone
1,-1,APOE4,220905-1,E44_M_18monthHFD,E44,Male,18,Old,HFD,openfield,1,14.811,73.4,290.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,240.4,3.356,24.2,0.018,88.7,99.5,12.6,53,155.1,4.289,0,0.035,76.7,47.6,15.7,81.5,62,363.5,340.8,22.50586854,26.02699531
2,-1,APOE4,220905-2,E44_F_18monthHFD,E44,Female,18,Old,HFD,openfield,1,21.124,59.3,415.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,319.8,4.638,28,0.027,110.5,58.7,8.3,55,116.4,6,0,0.051,98.3,19.8,5.9,NA,NA,474.7,301.5,32.60364842,36.65008292
3,-1,APOE4,220905-3,E44_M_18monthHFD,E44,Male,18,Old,HFD,openfield,1,25.632,57.5,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,359.6,13.571,7.3,0.042,232.2,88.3,23.7,50,84,4.515,0,0.049,52.1,39.6,12,NA,NA,446.5,447.9,11.63206073,51.841929
4,1,APOE3,220905-4,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,19.664,44.7,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,279,7.124,14.7,0.027,163.1,97,14.8,70,112.9,5.776,0,0.046,81.6,42.8,8.5,NA,NA,397.5,407.8,20.00980873,39.99509564
5,1,APOE3,220905-5,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,21.143,49.7,349.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,319.3,8.04,4.5,0.031,152.8,106.2,16.4,60,67.6,4.592,0,0.071,54.6,10.2,2.3,95.6,78.8,399,342.5,15.94160584,44.61313869
6,1,APOE3,220905-6,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,28.55,22.3,431.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,297.7,9.431,2.6,0.044,182.5,31.3,2.5,68,166.1,8.352,0,0.05,93.9,72.6,8.4,NA,NA,453.9,391.2,24.00306748,46.65132924
7,1,APOE3,220905-7,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,32.394,19.5,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,356.1,14.246,3.1,0.041,277.3,73.1,12.4,67,75,7.04,0,0.088,63.4,16.9,1.3,NA,NA,504.5,444.4,14.26642664,62.39873987
8,1,APOE3,220905-8,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,18.932,30.3,372.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,377.3,8.191,4.4,0.022,213.4,152,18.9,50,76.4,4.079,0,0.058,52.7,17.6,1.3,NA,NA,402.6,455.9,11.55955253,46.80851064
9,1,APOE3,220905-9,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,16.143,50.6,310.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,245.4,5.86,3.6,0.026,142.3,81.4,11.2,66,111.8,3.534,0,0.034,52.8,50.4,12.6,97.7,99.9,361.4,350.7,15.05560308,40.57599088
10,1,APOE2,220905-10,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,19.844,56.8,346.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,359.8,8.015,3.9,0.025,162.3,161,46.4,48,59.8,3.254,0,0.065,45.1,5,1.2,NA,NA,403.7,421,10.71258907,38.55106888
11,1,APOE2,220905-11,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,17.289,71.4,302.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,272.4,7.25,9,0.023,150.1,158.5,37,59,122,4.09,0,0.039,61.7,43.5,15.2,NA,NA,374.1,466,13.24034335,32.21030043
12,1,APOE2,220905-12,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,15.656,136.7,270.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,273.3,5.943,13.7,0.021,128.3,155,68.1,50,131.3,4.001,0,0.027,53.3,96.9,38.4,NA,NA,407.3,540,9.87037037,23.75925926
13,-1,APOE3,220905-13,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,36.804,14.5,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,297.3,10.301,1.3,0.041,211.2,42.3,10.5,97,126.3,9.615,0,0.081,115.2,3.2,1.1,58.2,48.9,559.5,383.5,30.03911343,55.07170795
14,-1,APOE3,220905-15,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,27.695,33.4,495.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,339,10.147,1.5,0.034,239.1,60.4,13.1,62,104.8,7.511,0,0.076,84.4,14.3,9.8,NA,NA,529,421.1,20.04274519,56.77986227
15,-1,APOE3,220905-16,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,24.069,44.2,442.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,263.1,5.347,5.9,0.033,130.7,29.7,2.7,84,171.9,8.027,0,0.055,106.4,39.3,12.4,NA,NA,486.7,321.2,33.12577833,40.69115816
16,-1,APOE3,220905-14,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,24.996,55.8,492.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,238.4,4.374,4.8,0.033,121.7,11.4,2.5,84,164.4,9.626,0,0.048,167.6,31.1,16.8,NA,NA,548.2,351.1,47.73568784,34.66248932
17,-1,APOE3,220905-17,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,29.756,40.6,472.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,296.3,7.957,6.9,0.033,179.9,58.7,15,85,123.3,8.158,0,0.073,83.7,27.6,10.1,51.7,80.3,512.7,375,22.32,47.97333333
18,1,APOE4,220905-18,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,13.592,53.1,307.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,186.5,1.468,5.5,0.021,47.7,22.1,0,75,204.3,5.08,0,0.025,86.7,114.6,24.7,NA,NA,360.6,295.8,29.31034483,16.12576065
19,1,APOE4,220905-20,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,13.462,187.4,185.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,365.2,8.389,6.3,0.017,129.9,364.2,171.1,15,23.9,1.732,0,0.085,17.3,3.1,1.1,NA,NA,372.8,686.7,2.51929518,18.91655745
20,1,APOE4,220905-19,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,14.664,123.1,242.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,336.7,8.717,1,0.022,163.5,226.7,73.6,26,60.5,2.66,40.1,0.08,33.3,0,0,NA,NA,366,497.1,6.698853349,32.89076645
21,-1,APOE4,220905-21,E44_F_6monthControl,E44,Female,6,6 Months,Control,openfield,1,25.294,39.8,400.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,410,13.183,10.6,0.033,256.6,146.6,31.1,42,62.7,3.984,0,0.064,46.4,15.8,4.9,51.2,52.9,440.2,501.4,9.254088552,51.17670523
22,-1,APOE4,220905-22,E44_F_6monthControl,E44,Female,6,6 Months,Control,openfield,1,28.107,42,458.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,338.5,9.727,11.3,0.038,212.2,43.7,8.8,51,88.1,5.381,2,0.085,62.4,1.1,0,NA,NA,500.3,328.2,19.01279707,64.65569775
23,-1,APOE4,220905-24,E44_M_6monthControl,E44,Male,6,6 Months,Control,openfield,1,8.575,178.7,171.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,280,3.608,9.1,0.009,91.5,289.7,116.2,32,50.7,2.014,0,0.085,23.6,0,0,NA,NA,350.6,521,4.52975048,17.56238004
24,-1,APOE4,220905-23,E44_M_6monthControl,E44,Male,6,6 Months,Control,openfield,1,13.039,88.5,280.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,235.4,5.541,12.1,0.023,126.4,112.7,11,54,128.9,3.107,0,0.028,56.5,53,14.6,NA,NA,368.7,374.2,15.09887761,33.77872795
25,-1,APOE4,220905-25,E44_M_6monthControl,E44,Male,6,6 Months,Control,openfield,1,19.893,80.6,323.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,291.5,7.259,7.1,0.029,148.8,97.4,17.9,49,132.4,4.616,0,0.038,53.4,68.9,27.2,101,91.9,403.9,413.6,12.91102515,35.97678917
26,1,APOE3,220905-26,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,openfield,1,18.028,47,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,263.4,4.774,16.6,0.027,110.3,63.4,13.3,67,117.7,5.34,0,0.069,64.9,12.9,2.8,NA,NA,413,267.6,24.25261584,41.21823617
27,1,APOE3,220905-27,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,openfield,1,27.73,17.9,431.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,395.9,10.863,1.2,0.031,217.3,131.1,13,51,77.1,6.612,0,0.093,65.1,6,2.6,NA,NA,449.5,435.1,14.96207768,49.94254194
28,1,APOE3,220905-28,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,openfield,1,25.165,42.1,413.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,301,9.046,8.4,0.032,206.5,73.9,10.7,69,101.5,6.791,0,0.073,69.9,23.4,2.8,NA,NA,455.5,387.2,18.05268595,53.33161157
29,1,APOE3,220905-29,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,openfield,1,29.899,36.5,393.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,408.7,13.919,2.6,0.036,233.1,149.1,27.7,48,51.4,6.093,0,0.117,49.9,2.2,0,39.3,44.1,430.3,462,10.8008658,50.45454545
30,-1,APOE4,220905-1,E44_M_18monthHFD,E44,Male,18,Old,HFD,Dilutions,1,5.361,1.4,107.5,7,7.5,0.471698113,0,4.7,2.7,3.6,0,6,8.4,0.528301887,1.4,7.5,0.9,5.2,0,5,2.2,79,0.5,6,3.5,25.5,1.5,31,69.9,3.374,11.5,0.049,63.4,5.7,1.4,11,14.4,0.258,0,0.021,8.3,3.8,0,9.7,8.5,108.9,82.6,10.04842615,76.75544794
31,-1,APOE4,220905-2,E44_F_18monthHFD,E44,Female,18,Old,HFD,Dilutions,1,6.633,2.3,102.5,3,5.7,0.377483444,39.2,5.7,0,2.7,0,6,9.4,0.622516556,0,5,4.4,4.3,0,6,8.9,4.4,2.6,4,4,2.2,2.4,27,67.5,3.172,10.5,0.055,47.7,10.4,2.3,14,19.6,0.587,0,0.04,11.8,2.9,0,NA,NA,104.8,75.1,15.71238349,63.51531292
32,-1,APOE4,220905-3,E44_M_18monthHFD,E44,Male,18,Old,HFD,Dilutions,1,7.75,3.9,98.9,2,1.9,0.316666667,3.3,1.9,0,0.9,0,7,4.1,0.683333333,0,2.6,1.5,2.6,0,3,1.3,27.5,0.8,7,2.1,1.4,0.6,16,83.8,6.756,6.3,0.069,81.9,16.5,2.8,7,10.4,0.32,0,0.048,6.6,0,0,NA,NA,102.8,107.8,6.12244898,75.97402597
33,1,APOE3,220905-4,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,3.528,1.2,76.1,6,5.5,0.314285714,1.8,1.6,3.9,1.3,0,11,12,0.685714286,0,5.5,6.5,3.7,0,2,1.4,99.3,0.4,3,3,43.9,1.8,20,68.7,2.368,22.7,0.037,45.7,18.5,0,10,21.6,0.04,0,0.002,0.8,15.6,1.2,NA,NA,77.3,81.8,0.97799511,55.86797066
34,1,APOE3,220905-5,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,3.05,13,67,4,3.3,0.523809524,5.2,3.3,0,2.3,0,3,3,0.476190476,0,3,0,2,0,6,5.3,2.9,1,4,5.1,1.3,4.2,16,86.2,1.779,9.6,0.019,39.7,53,13,6,12.7,0.323,0,0.028,11.4,0,0,18.8,14.1,80,117.1,9.735269001,33.90264731
35,1,APOE3,220905-6,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,6.691,3.5,105.3,7,8.3,0.494047619,0,8.3,0,4.7,0,10,8.5,0.505952381,1.1,8.5,0,3.3,0,7,7,8.3,2.5,9,7.2,9.6,3.6,35,59.9,3.204,6.3,0.056,44.9,12.6,3.5,13,23.6,1.021,0,0.049,20.8,0,0,NA,NA,108.8,81.8,25.42787286,54.88997555
36,1,APOE3,220905-7,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,5.119,12.5,88.6,2,2,0.909090909,23.3,2,0,1.8,0,1,0.2,0.090909091,0,0.2,0,0,0,2,2,11.2,1.4,5,4.3,3.1,2.8,23,94.6,4.501,6.4,0.045,67.7,31.4,12.5,6,9.4,0.08,0,0.015,5.5,0,0,NA,NA,101.1,117.1,4.696840307,57.81383433
37,1,APOE3,220905-8,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,1.319,65.5,30.1,2,1.6,0.285714286,0,1.6,0,1.3,0,2,4,0.714285714,0.5,4,0,1.5,0,3,2.4,14.3,1.3,2,2.7,4.2,0.4,15,91.8,0.844,10.2,0.008,16.8,87.3,64.5,4,7.9,0.102,0,0.014,4.9,2.6,1,NA,NA,95.6,177.1,2.766798419,9.486166008
38,1,APOE3,220905-9,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,Dilutions,1,4.052,7.9,74.1,4,4.1,0.482352941,8.6,4.1,0,2.3,0,4,4.4,0.517647059,1.8,4.4,0,3.3,0,6,5.4,5.4,2.7,9,5.8,0,3,21,70.2,2.499,18.5,0.032,37.2,40.4,6.7,9,17.8,0.499,0,0.027,18.2,0,0,19.8,20.6,82,102.5,17.75609756,36.29268293
39,1,APOE2,220905-10,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,Dilutions,1,2.358,49.5,51.8,3,4.5,0.703125,0,4.5,0.1,2,0,3,1.9,0.296875,1.4,1.9,0,1.1,0,2,2,5.8,1.6,2,0.7,97.3,0.5,18,101.4,1.787,9,0.019,33.5,59.9,43,3,7.7,0.075,0,0.01,7.8,0,0,NA,NA,101.3,144.2,5.409153953,23.23162275
40,1,APOE2,220905-11,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,Dilutions,1,2.204,33.4,52.5,1,2,0.277777778,4.1,2,0,1.9,0,3,5.2,0.722222222,1.4,3.9,1.2,2.7,0,2,1.3,7,0.9,8,5.9,0,2.8,12,90.7,1.63,15,0.017,31.2,65.1,33.4,7,17.7,0.151,0,0.01,12.1,2.4,0,NA,NA,85.9,144.2,8.39112344,21.63661581
41,1,APOE2,220905-12,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,Dilutions,1,1.099,63.5,35.9,0,0,0,NA,0,0,0,0,2,3.4,1,0.5,3.4,0,0.6,0,3,4.5,5.4,3.2,4,5.7,2.8,3.1,8,98.7,0.899,17.7,0.009,19.1,81.5,63.5,1,13.4,0.076,0,0.005,11.9,2.6,0,NA,NA,99.4,178.6,6.662933931,10.69428891
42,-1,APOE3,220905-13,E33_F_6monthControl,E33,Female,6,6 Months,Control,Dilutions,1,4.039,18.4,55.9,4,2.8,0.56,0,2.8,0,2.4,0,3,2.2,0.44,1.3,2.2,0,0.5,0,1,0.6,45.7,0.3,0,0,NA,0,18,101.5,3.486,5.7,0.032,45.2,64.1,18.4,2,5,0.153,0,0.033,4.7,0,0,50.4,38.5,74.3,132.4,3.549848943,34.13897281
43,-1,APOE3,220905-14,E33_F_6monthControl,E33,Female,6,6 Months,Control,Dilutions,1,8.632,4.3,110.2,4,2.9,0.58,6,2.9,0,1.4,0,7,2.1,0.42,0,2.1,0,1.5,0,5,2.9,1.8,2,8,3.5,0.9,2.1,42,78.7,7.878,4,0.077,92.2,9.8,4.3,7,7,0.139,0,0.039,3.6,0,0,NA,NA,114.5,109.9,3.275705187,83.8944495
44,-1,APOE3,220905-16,E33_F_6monthControl,E33,Female,6,6 Months,Control,Dilutions,1,4.632,19.7,77.7,7,4.4,0.571428571,0,4.4,0,3.5,0,8,3.3,0.428571429,0.6,3.3,0,2.1,0,7,3.4,2.1,2.7,6,3.7,1.3,2.3,26,83.9,3.853,6.6,0.039,57.3,42.3,19.7,2,16.2,0.477,0,0.034,14.1,0,0,NA,NA,97.4,133.4,10.56971514,42.95352324
45,-1,APOE3,220905-15,E33_F_6monthControl,E33,Female,6,6 Months,Control,Dilutions,1,6.465,12.9,91.3,2,1.3,0.288888889,80.8,1.3,0,1.3,0,4,3.2,0.711111111,0,3.2,0,2.5,0,8,4.1,11,2.8,4,2.6,3.7,2.6,25,91.2,6.213,0,0.055,83.9,28.7,12.9,7,2.1,0,NA,NA,0,0,0,NA,NA,104.2,125.5,0,66.85258964
46,-1,APOE3,220905-17,E33_F_6monthControl,E33,Female,6,6 Months,Control,Dilutions,1,5.725,10.3,71.5,3,1.1,0.423076923,3.1,1.1,0,1.1,0,3,1.5,0.576923077,30.4,1.5,0,1.4,0,4,2.5,16.6,1.6,7,3.9,14.5,2.3,31,90.1,5.47,0,0.049,63.1,48.5,10.3,3,2.9,0,NA,NA,0,0,0,29.5,41.3,81.8,121.9,0,51.76374077
47,1,APOE4,220905-18,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,Dilutions,1,2.23,7.7,73.4,6,4,0.677966102,3,4,0,2.4,0,3,1.9,0.322033898,7.5,1.9,0,1.4,0,5,3.1,1.3,1.2,5,4.4,8.9,4.1,23,65.7,1.209,15.1,0.019,32.7,32.6,5,8,26.7,0.506,0,0.022,14.9,7.8,2.7,NA,NA,81.1,95.7,15.56948798,34.169279
48,1,APOE4,220905-19,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,Dilutions,1,4.111,15.1,83.5,3,5.1,0.85,1,3,2.1,2.3,0,2,0.9,0.15,23.2,0.9,0,0.9,0,2,1.1,71.5,1.1,3,4.1,13.6,3.7,24,92.2,3.732,3.3,0.037,69.7,31.7,15.1,6,4.6,0,NA,NA,0,0,0,NA,NA,98.6,116.5,0,59.82832618
49,1,APOE4,220905-20,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,Dilutions,1,3.792,16.3,76,3,3,0.441176471,0.4,3,0,2.6,0,3,3.8,0.558823529,9.9,3.8,0,2.5,0,5,4.2,1.7,2,2,1.4,36.1,1.2,17,87.8,2.919,3.4,0.029,56.6,44,16.3,6,8.4,0.524,0,0.055,9.6,0,0,NA,NA,92.3,126.5,7.588932806,44.743083
50,-1,APOE4,220905-21,E44_F_6monthControl,E44,Female,6,6 Months,Control,Dilutions,1,3.748,16.9,75.6,3,3.9,0.342105263,7,3.9,0,2,0,8,7.5,0.657894737,3.5,5.2,2.4,2.7,0,3,3.5,43.4,3,7,6.1,0,3.7,10,79.9,2.185,12.6,0.027,41.4,39.1,16.9,10,17.5,0.245,0,0.019,7.5,5.2,0,15.3,12.3,92.5,110.1,6.811989101,37.60217984
51,-1,APOE4,220905-22,E44_F_6monthControl,E44,Female,6,6 Months,Control,Dilutions,1,8.355,0,120,11,11.9,0.556074766,0,11.9,0,8.1,0,10,9.5,0.443925234,2,9.5,0,6,0,9,8.5,6,4.9,8,7.6,4.1,4.4,28,52.1,3.43,15.6,0.074,46.4,0,0,12,34.5,1.188,0,0.047,25.3,0,0,NA,NA,120,71.7,35.28591353,64.71408647
52,-1,APOE4,220905-24,E44_M_6monthControl,E44,Male,6,6 Months,Control,Dilutions,1,2.619,25.6,57,9,6.8,0.686868687,1.4,6.8,0,2.8,0,3,3.1,0.313131313,4.6,3.1,0,1.2,0,2,2.2,0,1.4,1,0.1,68.9,0,19,89.1,1.644,8,0.017,32.9,63,25.6,5,10.6,0.408,0,0.036,11.2,0,0,NA,NA,82.6,132.7,8.44009043,24.79276564
53,-1,APOE4,220905-23,E44_M_6monthControl,E44,Male,6,6 Months,Control,Dilutions,1,2.33,43.7,54.7,2,2.1,0.5,1.2,2.1,0,1.1,0,3,2.1,0.5,2.9,2.1,0,1.6,0,3,3.1,6.9,1.4,3,2.7,5.2,1.8,26,83.8,1.256,8.6,0.013,30.8,65.3,43.7,6,14.9,0.489,0,0.034,14.4,0,0,NA,NA,98.4,154.2,9.338521401,19.97405966
54,-1,APOE4,220905-25,E44_M_6monthControl,E44,Male,6,6 Months,Control,Dilutions,1,4.008,10.5,63.2,3,1.9,0.791666667,3,1.9,0,0.8,0,1,0.5,0.208333333,113,0.5,0,0.5,0,4,2.3,2,1.7,4,2.8,0.6,1.8,27,93.3,3.696,7,0.034,51.6,56.8,10.5,4,7.4,0.151,0,0.024,6.3,0,0,35.4,33.3,73.7,125.2,5.031948882,41.21405751
55,1,APOE3,220905-26,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,Dilutions,1,3.034,14.3,78.6,7,7.4,0.698113208,0,7.4,0,4.9,0,4,3.2,0.301886792,2.2,3.2,0,2.8,0,5,4,5.3,3.4,5,5.8,7.1,4,30,62.4,1.953,13.7,0.023,43.7,40,14.3,13,20,0.45,0,0.024,18.7,0,0,NA,NA,92.9,116.7,16.02399314,37.44644387
56,1,APOE3,220905-27,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,Dilutions,1,4.8,11.9,90.3,3,2.7,0.3375,0,2.7,0,2,0,4,5.3,0.6625,4,5.3,0,4.4,0,4,5.3,16.5,4.2,7,4.1,6.9,3.3,19,84.8,3.641,1.8,0.04,69.2,22,7.1,8,5.1,0.077,0,0.089,0.9,0,0,NA,NA,102.2,99.2,0.907258065,69.75806452
57,1,APOE3,220905-28,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,Dilutions,1,4.64,5.3,86.2,5,6.3,0.525,0,6.3,0,4.4,0,5,5.7,0.475,12.8,5.7,0,3.4,0,10,8.1,2.2,2.4,5,4.8,9.8,4.2,29,67.2,2.317,4.2,0.03,43,33.4,5.3,6,21.8,0.592,0,0.034,17.4,0,0,NA,NA,91.5,99.1,17.5580222,43.39051463
58,1,APOE3,220905-29,E3HN_F_6monthControl,E3HN,Female,6,6 Months,Control,Dilutions,1,4.855,6.7,78.7,3,3,0.416666667,4.2,3,0,1.6,0,3,4.2,0.583333333,29.1,4.2,0,2.6,0,5,3,2.7,1.8,4,4.3,0.5,1.7,18,81.4,3.264,6.6,0.037,51.7,36.3,4.1,8,12.8,0.239,0,0.028,8.4,0,0,21.3,22,85.4,100.5,8.358208955,51.44278607
59,-1,APOE4,220905-1,E44_M_18monthHFD,E44,Male,18,Old,HFD,Dilutions,2,2.888,11.7,59.5,6,5.2,0.40625,0,3.8,1.4,1.3,0,8,7.6,0.59375,1.2,4.4,3.2,4.4,0,2,3.2,2.8,2.3,4,3,13.8,0.8,15,64.2,1.109,6.4,0.015,23.8,47.9,11.7,9,13.3,0.496,0,0.039,12.8,0,0,18.6,15.7,71.2,96.2,13.30561331,24.74012474
60,-1,APOE4,220905-2,E44_F_18monthHFD,E44,Female,18,Old,HFD,Dilutions,2,1.718,14.8,26.2,2,0.8,0.888888889,3.6,0.8,0,0.4,0,3,0.1,0.111111111,7.9,0.1,0,0,0,4,1.4,13.2,1.4,1,1.2,0.8,0,15,95.5,0.804,4.2,0.009,14.1,80.4,11.8,3,5.7,0.288,0,0.046,3.9,2.4,0,NA,NA,41,112.6,3.463587922,12.52220249
61,-1,APOE4,220905-3,E44_M_18monthHFD,E44,Male,18,Old,HFD,Dilutions,2,4.205,39.7,52.5,2,2.6,1,42.1,2.6,0,2.1,0,0,0,0,NA,0,0,0,0,1,0.3,67.8,0.3,0,0,NA,0,7,112.1,4.016,0,0.035,48.9,67.5,39.7,3,2,0,NA,NA,0,0,0,NA,NA,92.2,156.1,0,31.32607303
