Badea_ID,Eigengene_1,Eigengene_2,Eigengene_3,Eigengene_4,Eigengene_5,Eigengene_6,Eigengene_7,Eigengene_8,Eigengene_9,Eigengene_10
190715_3,3.2668564985264803,-31.40382622072083,2.017773726011626,41.727534535276796,12.967225460294031,-22.853987240622736,-0.32615533358394133,-1.7890980418094502,-0.06895086818742269,-1.8451661178048462
190715_4,-28.936785549040344,-21.151487003263007,-39.657543952596896,-2.9647515499093213,5.071339115413148,6.604364444574178,13.476724972260556,14.02913146857007,-5.0636285863315145,-6.870340497953956
190715_5,-8.15847337938226,-18.050006955329955,-11.382475243017586,8.505847721671776,1.9567971418953916,-0.44728797213499377,4.771487042680339,5.711594917352173,-0.9065373152478261,-2.1939482807277835
190715_6,2.339985823152977,-21.910784506737027,5.625611719797024,13.887682402651247,-0.007273758586971558,-11.132028741350206,-3.0296938156838342,0.00147252913881848,2.9613950555337585,2.8117377888375787
190715_7,27.62939999355392,-30.365948606645,14.371413329134638,-13.496694104670057,-0.03489808150226475,16.27541331765815,1.474651492123448,9.161393444110317,-1.7400303634678949,-1.9849363018287527
190715_8,-22.160264734778856,10.267354223949365,6.244577194425007,26.895942337439106,-5.976032146334767,-21.159760068926776,2.532777747334958,-2.361707120313353,-1.169619963728266,-2.3654784073381645
190715_9,-24.107746919164402,-31.244238137191946,-29.775230178938727,33.35946862929138,8.257637142403308,-22.602486977912665,-2.951150361746384,-0.9046023489842521,6.4293264185437105,6.757570687240963
190909_10,30.608580195545713,-53.95017077778468,7.949056489500343,39.8571812818993,24.007164331811797,-9.649325794036654,-1.8822837421168748,3.443724277108343,5.359429267455233,1.639389824809682
190909_11,116.09766315857136,-58.24007914658093,58.097073982875564,-0.41363028967962906,36.516663767233446,45.34215650754843,-18.639874783202607,-6.031534175511874,-6.054712597975256,-13.816277375979103
190909_12,124.51203086464224,-43.68627051573914,62.056085641116226,-24.828715923284296,20.033096698387297,55.5531231313509,-5.77239309190643,-11.219136398877865,-2.535414324484157,-0.40151245872151897
190909_13,57.705675403121845,-62.658281578908515,12.490407735584274,28.518093153549916,34.058553756969054,14.425705094633013,-5.928435872884964,0.7505337347625228,2.583595574489504,-2.393594287478479
190909_9,33.81419035784992,-52.13370144084275,12.322784863499736,45.04881742303824,24.711911665371613,-11.843816258733266,-3.513148445754135,0.3526855332600487,5.81803088048664,2.3623688468133537
200302_10,24.643715084982944,-27.34331549967377,26.869169949195616,27.587192713607116,8.028612473174705,-14.296392895309408,1.9906769019841644,0.0067760496603187625,0.6529655917128007,-0.3124607586002377
200302_11,37.07937297218568,-31.564008655856636,35.054187400236785,31.776860834860795,12.438439429264436,-9.869252521883729,10.198052121507834,2.550888407740915,-6.474148236318588,-9.476539674410052
200302_12,-17.786102360648457,35.41037979124647,18.569020058097273,22.51792868060855,-3.617448909953698,-10.006737784640073,-1.6265571806878059,4.9870037420016855,1.6515914211389637,-3.614759459663622
200302_3,-31.395638408558188,-26.39479443565482,-39.90302806381486,10.760629034721061,-0.9581080349779022,-10.122533710033231,6.40198141117537,12.659165260086487,6.483070103308387,6.3408252792025905
200302_4,-22.377261630231104,-20.513344646110728,-30.34278148596193,17.05061913864665,15.233028767544745,-0.7158423027658437,9.644658329278679,5.430215086005018,-1.9619296529144377,-7.136682809148338
200302_5,-25.150492395771682,-19.170576734156807,-22.309484277946517,21.448916273093158,-0.25904262245785237,-17.907019050077015,0.1908595889058727,1.7342340485374201,6.002013934054544,6.107943676007784
